signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_DOWN	C5 stable	down	ENSG00000144810.16	COL8A1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000119408.17	NEK6	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000166750.10	SLFN5	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000183856.11	IQGAP3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000115053.17	NUCLEOLIN	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000157064.11	NMNAT2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000189091.13	SF3B3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000056097.16	ZFR	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000134954.14	ETS1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000181472.5	ZBTB2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000100403.12	ZC3H7B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000140941.14	MAP1LC3B	1	1	1
